concept_id	Xencounter_type/s	Xconcept_name_first	concept_names_all	Xdatatype	class	value_boolean	value_coded	Xvalue_coded_name_first	value_coded_names_all	value_drug	value_Datetime	value_numeric	value_modifier	value_text	value_complex	link_to_previous
-	Exp Infant Chart	Height	-	Numeric	-	-	-	-	-	-	-	-	-	-	-	y
-	Exp Infant Chart	Weight	-	Numeric	-	-	-	-	-	-	-	-	-	-	-	y
-	Exp Infant Chart	MUAC	-	Numeric	-	-	-	-	-	-	-	-	-	-	-	y
-	Exp Infant Chart	Wasting/Malnutrition (based on Wt/Hgt or MUAC)	-	Coded	-	-	-	"No,Mod,Sev"	-	-	-	-	-	-	-	y
-	Exp Infant Chart	Breast feeding	-	Coded	-	-	-	"Ongoing - Exclusive,Ongoing - Mixed/Complementary,Stopped - In last 6 weeks,Stopped - Over 6 weeks age"	-	-	-	-	-	-	-	y
-	Exp Infant Chart	Mother Status	-	Coded	-	-	-	"Not On ART,ART Adherent,Died,Unknown"	-	-	-	-	-	-	-	y
-	Exp Infant Chart	Clinical Monitoring	-	Coded	-	-	-	"No Abnorm. Det,Any sickness"	-	-	-	-	-	-	-	y
-	Exp Infant Chart	HIV Testing	-	Coded	-	-	-	"Not done,DBS taken (PCR),Rapid test done"	-	-	-	-	-	-	-	y
-	Exp Infant Chart	HIV Infection	-	Coded	-	-	-	"Confirmed - Not infected,Confirmed - Infected ART,Not confirmed - Not ART eligible,Not confirmed - PSHD"	-	-	-	-	-	-	-	y
-	Exp Infant Chart	CPT given (ml/tabs)	-	Numeric	-	-	-		-	-	-	-	-	-	-	y
-	Exp Infant Chart	Follow-Up Outcome	-	Coded	-	-	-	"Continnue FUP,Discharge Uninfected,Started ART,Transfer out,Defaulted,Died"	-	-	-	-	-	-	-	y
-	Exp Infant Chart	Next appointment/Outcome Date	-	Date	-	-	-		-	-	-	-	-	-	-	y
